,Dallas Mavericks,Orlando Magic,San Antonio Spurs,Denver Nuggets,Brooklyn Nets,Washington Wizards,Golden State Warriors,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Milwaukee Bucks,Phoenix Suns,Miami Heat,Indiana Pacers,Sacremento Kings,Detroit Pistons,New York Knicks,Portland Trail Blazers,Oklahoma City Thunder,Cleveland Cavaliers,Toronto Raptors,New Orleans Pelicans,Charlotte Hornets,Atlanta Hawks,Minnesota Timberwolves,Boston Celtics,Houston Rockets,Chicago Bulls,Utah Jazz,Philadelphia 76ers
Dallas Mavericks,0.0,963.1088,250.9888,662.5005,1373.9785,1184.9577,1480.9917,1244.4155,1240.8252,420.4564,856.8999,885.3727,1111.8247,763.8768,1439.9153,999.6698,1374.3538,1632.093,188.5971,1025.7787,1204.0045,443.1745,930.8922,721.2675,861.8879,1551.7085,226.2635,802.7449,999.4073,1298.5043
Orlando Magic,963.1088,0.0,1033.5976,1551.6985,936.6147,756.6121,2439.6301,2207.4675,2202.7543,682.5298,1064.4525,1845.4279,203.6494,820.2262,2394.9323,956.1297,940.2518,2528.551,1058.6093,893.3907,1047.3502,534.1569,461.7681,401.3094,1308.4333,1114.9996,848.7439,985.4522,1918.5527,859.5248
San Antonio Spurs,250.9888,1033.5976,0.0,803.4822,1581.0733,1384.9632,1490.6451,1224.2231,1207.9594,628.7472,1105.588,850.8205,1145.9045,996.9937,1460.9008,1236.1162,1581.9145,1721.7655,419.4203,1254.7361,1437.539,503.6791,1102.4237,879.2303,1109.0547,1764.2904,186.4632,1048.7785,1089.7349,1502.4324
Denver Nuggets,662.5005,1551.6985,803.4822,0.0,1634.181,1494.6465,946.9934,804.3711,831.8569,880.4167,914.9518,585.3424,1726.7782,1002.039,888.0096,1157.4603,1632.5817,981.7062,506.0459,1228.2557,1346.959,1081.7736,1359.8385,1212.6408,699.6655,1770.4664,879.831,918.9426,370.9744,1579.763
Brooklyn Nets,1373.9785,936.6147,1581.0733,1634.181,0.0,203.529,2572.4716,2433.4501,2454.1888,956.1326,736.6287,2145.8271,1087.3766,646.7793,2508.2587,484.4343,4.7833,2447.2453,1328.4163,406.4296,344.4883,1169.5947,530.8776,746.2977,1021.6188,190.5692,1419.539,717.1086,1975.1135,83.099
Washington Wizards,1184.9577,756.6121,1384.9632,1494.6465,203.529,0.0,2440.1644,2284.4702,2301.5731,764.859,637.0522,1982.5665,922.4511,492.8025,2378.5685,396.1779,205.5659,2353.4809,1152.742,305.0638,349.677,966.2215,329.6076,542.771,934.5725,394.0195,1220.2618,598.0283,1847.5428,120.7444
Golden State Warriors,1480.9917,2439.6301,1490.6451,946.9934,2572.4716,2440.1644,0.0,297.9574,345.4204,1801.3825,1840.6638,652.2462,2592.75,1948.1747,73.9992,2090.1819,2570.5787,535.9889,1387.5482,2166.155,2268.4746,1923.3979,2300.7421,2137.9188,1582.9965,2697.7564,1643.8867,1855.4162,598.7197,2521.7927
Los Angeles Clippers,1244.4155,2207.4675,1224.2231,804.3711,2433.4501,2284.4702,297.9574,0.0,62.2377,1598.6304,1719.3205,373.6454,2349.403,1792.8568,305.8253,1960.5841,2432.0637,765.1598,1176.8498,2028.9886,2151.3252,1680.7988,2112.3565,1933.0529,1491.5052,2573.9782,1387.4976,1721.4394,533.9412,2375.6705
Los Angeles Lakers,1240.8252,2202.7543,1207.9594,831.8569,2454.1888,2301.5731,345.4204,62.2377,0.0,1604.8826,1745.6577,359.0446,2340.4317,1811.2406,361.0592,1984.439,2452.92,826.1333,1182.54,2050.9848,2177.4079,1673.3948,2121.3558,1937.7084,1524.6785,2597.8578,1375.3338,1745.0134,580.8015,2394.8763
Memphis Grizzlies,420.4564,682.5298,628.7472,880.4167,956.1326,764.859,1801.3825,1598.6304,1604.8826,0.0,557.2881,1262.5742,871.8143,384.1133,1750.0686,623.7438,956.7087,1849.3946,422.35,630.9248,817.5387,357.5989,521.1953,336.5499,700.0284,1136.9373,483.698,482.499,1250.9521,879.4245
